congress,person_id,person_name,party,state,party_percentage,num_votes_with,num_votes_against
107,S213,Akaka (D-HI),D,HI,0.71202534,450,182
107,S250,Allard (R-CO),R,CO,0.8262243,523,110
107,S274,Allen (R-VA),R,VA,0.75671405,479,154
107,S127,Baucus (D-MT),D,MT,0.54186416,343,290
107,S264,Bayh (D-IN),D,IN,0.69668245,441,192
107,S231,Bennett (R-UT),R,UT,0.79462874,503,130
107,S010,Biden (D-DE),D,DE,0.73459715,465,168
107,S167,Bingaman (D-NM),D,NM,0.7753165,490,142
107,S200,Bond (R-MO),R,MO,0.8199052,519,114
107,S223,Boxer (D-CA),D,CA,0.67772514,429,204
107,S179,Breaux (D-LA),D,LA,0.47867298,303,330
107,S249,Brownback (R-KS),R,KS,0.77251184,489,144
107,S265,Bunning (R-KY),R,KY,0.81042653,513,120
107,S211,Burns (R-MT),R,MT,0.7693523,487,146
107,S017,Byrd (D-WV),D,WV,0.66508687,421,212
107,S225,Campbell (D-CO),D,CO,0.09636651,61,572
107,S275,Cantwell (D-WA),D,WA,0.80094784,507,126
107,S276,Carnahan (D-MO),D,MO,0.69036335,437,196
107,S277,Carper (D-DE),D,DE,0.66824645,423,210
107,S272,Chafee, L.  (R-RI),R,RI,0.3807267,241,392
107,S251,Cleland (D-GA),D,GA,0.63349134,401,232
107,S278,Clinton (D-NY),D,NY,0.75671405,479,154
107,S136,Cochran (R-MS),R,MS,0.75671405,479,154
107,S252,Collins (R-ME),R,ME,0.49763033,315,318
107,S201,Conrad (D-ND),D,ND,0.74091625,469,164
107,S279,Corzine (D-NJ),D,NJ,0.69984204,443,190
107,S215,Craig (R-ID),R,ID,0.807267,511,122
107,S266,Crapo (R-ID),R,ID,0.7693523,487,146
107,S185,Daschle (D-SD),D,SD,1.0,633,0
107,S280,Dayton (D-MN),D,MN,0.77251184,489,144
107,S240,DeWine (R-OH),R,OH,0.69036335,437,196
107,S150,Dodd (D-CT),D,CT,0.7314376,463,170
107,S027,Domenici (R-NM),R,NM,0.68088466,431,202
107,S222,Dorgan (D-ND),D,ND,0.73459715,465,168
107,S253,Durbin (D-IL),D,IL,0.74091625,469,164
107,S267,Edwards (D-NC),D,NC,0.78515005,497,136
107,S281,Ensign (R-NV),R,NV,0.69036335,437,196
107,S254,Enzi (R-WY),R,WY,0.74723536,473,160
107,S230,Feingold (D-WI),D,WI,0.5892575,373,260
107,S221,Feinstein (D-CA),D,CA,0.7156398,453,180
107,S268,Fitzgerald (R-IL),R,IL,0.66502464,405,204
107,S241,Frist (R-TN),R,TN,0.864139,547,86
107,S199,Graham (D-FL),D,FL,0.75039494,475,158
107,S171,Gramm (R-TX),R,TX,0.7977883,505,128
107,S153,Grassley (R-IA),R,IA,0.77883095,493,140
107,S224,Gregg (R-NH),R,NH,0.76619273,485,148
107,S255,Hagel (R-NE),R,NE,0.79462874,503,130
107,S172,Harkin (D-IA),D,IA,0.7535545,477,156
107,S118,Hatch (R-UT),R,UT,0.80094784,507,126
107,S046,Helms (R-NC),R,NC,0.49131122,311,322
107,S047,Hollings (D-SC),D,SC,0.73459715,465,168
107,S256,Hutchinson (R-AR),R,AR,0.68088466,431,202
107,S235,Hutchison (R-TX),R,TX,0.75039494,475,158
107,S236,Inhofe (R-OK),R,OK,0.7977883,505,128
107,S051,Inouye (D-HI),D,HI,0.7020602,443,188
107,S204,Jeffords (R-VT),R,VT,0.4,68,102
107,S257,Johnson (D-SD),D,SD,0.74723536,473,160
107,S055,Kennedy (D-MA),D,MA,0.69984204,443,190
107,S173,Kerry (D-MA),D,MA,0.76619273,485,148
107,S209,Kohl (D-WI),D,WI,0.72511846,459,174
107,S243,Kyl (R-AZ),R,AZ,0.77883095,493,140
107,S258,Landrieu (D-LA),D,LA,0.6271722,397,236
107,S057,Leahy (D-VT),D,VT,0.77883095,493,140
107,S131,Levin (D-MI),D,MI,0.7914692,501,132
107,S210,Lieberman (D-CT),D,CT,0.78830963,499,134
107,S269,Lincoln (D-AR),D,AR,0.63665086,403,230
107,S203,Lott (R-MS),R,MS,1.0,633,0
107,S105,Lugar (R-IN),R,IN,0.79462874,503,130
107,S197,McCain (R-AZ),R,AZ,0.45339653,287,346
107,S174,McConnell (R-KY),R,KY,0.8483412,537,96
107,S182,Mikulski (D-MD),D,MD,0.7819905,495,138
107,S273,Miller (D-GA),D,GA,0.278481,176,456
107,S157,Murkowski (R-AK),R,AK,0.75039494,475,158
107,S229,Murray (D-WA),D,WA,0.77883095,493,140
107,S282,Nelson (D-FL),D,FL,0.72511846,459,174
107,S283,Nelson (D-NE),D,NE,0.47551343,301,332
107,S158,Nickles (R-OK),R,OK,0.83254343,527,106
107,S259,Reed (D-RI),D,RI,0.77883095,493,140
107,S198,Reid (D-NV),D,NV,0.8256735,521,110
107,S260,Roberts (R-KS),R,KS,0.7693523,487,146
107,S176,Rockefeller (D-WV),D,WV,0.77251184,489,144
107,S244,Santorum (R-PA),R,PA,0.81674564,517,116
107,S106,Sarbanes (D-MD),D,MD,0.80094784,507,126
107,S270,Schumer (D-NY),D,NY,0.72827804,461,172
107,S261,Sessions (R-AL),R,AL,0.72195894,457,176
107,S184,Shelby (D-AL),D,AL,0.06793049,43,590
107,S216,Smith (R-NH),R,NH,0.77251184,489,144
107,S262,Smith (R-OR),R,OR,0.6075949,384,248
107,S245,Snowe (R-ME),R,ME,0.47867298,303,330
107,S161,Specter (R-PA),R,PA,0.4407583,279,354
107,S284,Stabenow (D-MI),D,MI,0.76619273,485,148
107,S090,Stevens (R-AK),R,AK,0.7650794,482,148
107,S246,Thomas (R-WY),R,WY,0.7819905,495,138
107,S237,Thompson (R-TN),R,TN,0.7756714,491,142
107,S096,Thurmond (R-SC),R,SC,0.8199052,519,114
107,S263,Torricelli (D-NJ),D,NJ,0.55766195,353,280
107,S271,Voinovich (R-OH),R,OH,0.69036335,437,196
107,S143,Warner (R-VA),R,VA,0.67456555,427,206
