congress,person_id,person_name,party,state,party_percentage
112,S213,Akaka (D-HI),D,HI,0.8312757
112,S289,Alexander (R-TN),R,TN,0.7078189
112,S340,Ayotte (R-NH),R,NH,0.73251027
112,S317,Barrasso (R-WY),R,WY,0.7983539
112,S127,Baucus (D-MT),D,MT,0.7942387
112,S319,Begich (D-AK),D,AK,0.74485594
112,S330,Bennet (D-CO),D,CO,0.78600824
112,S167,Bingaman (D-NM),D,NM,0.8271605
112,S341,Blumenthal (D-CT),D,CT,0.81893003
112,S342,Blunt (R-MO),R,MO,0.6296296
112,S343,Boozman (R-AR),R,AR,0.7201646
112,S223,Boxer (D-CA),D,CA,0.7407407
112,S307,Brown (D-OH),D,OH,0.7983539
112,S335,Brown (R-MA),R,MA,0.34567901
112,S300,Burr (R-NC),R,NC,0.69008267
112,S275,Cantwell (D-WA),D,WA,0.80658436
112,S308,Cardin (D-MD),D,MD,0.86419755
112,S277,Carper (D-DE),D,DE,0.7983539
112,S309,Casey (D-PA),D,PA,0.7983539
112,S290,Chambliss (R-GA),R,GA,0.6995885
112,S212,Coats (R-IN),R,IN,0.7366255
112,S301,Coburn (R-OK),R,OK,0.61649483
112,S136,Cochran (R-MS),R,MS,0.63374484
112,S252,Collins (R-ME),R,ME,0.30452675
112,S201,Conrad (D-ND),D,ND,0.781893
112,S337,Coons (D-DE),D,DE,0.86419755
112,S310,Corker (R-TN),R,TN,0.6872428
112,S287,Cornyn (R-TX),R,TX,0.7942387
112,S266,Crapo (R-ID),R,ID,0.71193415
112,S302,DeMint (R-SC),R,SC,0.4238683
112,S253,Durbin (D-IL),D,IL,0.8436214
112,S254,Enzi (R-WY),R,WY,0.80658436
112,S332,Franken (D-MN),D,MN,0.83950615
112,S331,Gillibrand (D-NY),D,NY,0.8683128
112,S293,Graham (R-SC),R,SC,0.6296296
112,S153,Grassley (R-IA),R,IA,0.7037037
112,S320,Hagan (D-NC),D,NC,0.76954734
112,S172,Harkin (D-IA),D,IA,0.781893
112,S118,Hatch (R-UT),R,UT,0.6390042
112,S344,Hoeven (R-ND),R,ND,0.6419753
112,S235,Hutchison (R-TX),R,TX,0.6831276
112,S236,Inhofe (R-OK),R,OK,0.64123714
112,S051,Inouye (D-HI),D,HI,0.7710583
112,S305,Isakson (R-GA),R,GA,0.7037037
112,S321,Johanns (R-NE),R,NE,0.73251027
112,S257,Johnson (D-SD),D,SD,0.8312757
112,S345,Johnson (R-WI),R,WI,0.69547325
112,S173,Kerry (D-MA),D,MA,0.781893
112,S339,Kirk (R-IL),R,IL,0.23868313
112,S311,Klobuchar (D-MN),D,MN,0.78600824
112,S209,Kohl (D-WI),D,WI,0.7572017
112,S243,Kyl (R-AZ),R,AZ,0.78600824
112,S258,Landrieu (D-LA),D,LA,0.7613169
112,S166,Lautenberg (D-NJ),D,NJ,0.7654321
112,S057,Leahy (D-VT),D,VT,0.8148148
112,S346,Lee (R-UT),R,UT,0.46804124
112,S131,Levin (D-MI),D,MI,0.8353909
112,S105,Lugar (R-IN),R,IN,0.6666667
112,S338,Manchin (D-WV),D,WV,0.61728394
112,S197,McCain (R-AZ),R,AZ,0.6419753
112,S312,McCaskill (D-MO),D,MO,0.56790125
112,S174,McConnell (R-KY),R,KY,1.0
112,S306,Menendez (D-NJ),D,NJ,0.7983539
112,S322,Merkley (D-OR),D,OR,0.79012346
112,S182,Mikulski (D-MD),D,MD,0.8559671
112,S347,Moran (R-KS),R,KS,0.60493827
112,S288,Murkowski (R-AK),R,AK,0.44032922
112,S229,Murray (D-WA),D,WA,0.8271605
112,S282,Nelson (D-FL),D,FL,0.80246913
112,S283,Nelson (D-NE),D,NE,0.63786006
112,S348,Paul (R-KY),R,KY,0.42443064
112,S349,Portman (R-OH),R,OH,0.71193415
112,S295,Pryor (D-AR),D,AR,0.7160494
112,S259,Reed (D-RI),D,RI,0.8600823
112,S198,Reid (D-NV),D,NV,1.0
112,S323,Risch (R-ID),R,ID,0.67901236
112,S260,Roberts (R-KS),R,KS,0.7078189
112,S350,Rubio (R-FL),R,FL,0.6255144
112,S270,Schumer (D-NY),D,NY,0.8886598
112,S261,Sessions (R-AL),R,AL,0.6872428
112,S324,Shaheen (D-NH),D,NH,0.82304525
112,S184,Shelby (D-AL),D,AL,-0.09053498
112,S245,Snowe (R-ME),R,ME,0.35983264
112,S284,Stabenow (D-MI),D,MI,0.77366257
112,S314,Tester (D-MT),D,MT,0.77366257
112,S303,Thune (R-SD),R,SD,0.7407407
112,S351,Toomey (R-PA),R,PA,0.67901236
112,S325,Udall (D-CO),D,CO,0.74897116
112,S326,Udall (D-NM),D,NM,0.81893003
112,S299,Vitter (R-LA),R,LA,0.60082304
112,S327,Warner (D-VA),D,VA,0.7613169
112,S316,Whitehouse (D-RI),D,RI,0.83950615
112,S318,Wicker (R-MS),R,MS,0.7078189
112,S247,Wyden (D-OR),D,OR,0.7613169
112,S221,Feinstein (D-CA),D,CA,0.8312757
112,S176,Rockefeller (D-WV),D,WV,0.74485594
112,S315,Webb (D-VA),D,VA,0.7037037
112,S352,Heller (R-NV),R,NV,0.43809524
