congress,person_id,person_name,party,state,party_percentage
101,S180,Adams (D-WA),D,WA,0.6977492
101,S134,Armstrong (R-CO),R,CO,0.51446944
101,S127,Baucus (D-MT),D,MT,0.49517685
101,S009,Bentsen (D-TX),D,TX,0.67202574
101,S010,Biden (D-DE),D,DE,0.66237944
101,S167,Bingaman (D-NM),D,NM,0.62700963
101,S200,Bond (R-MO),R,MO,0.6655949
101,S128,Boren (D-OK),D,OK,0.45249596
101,S135,Boschwitz (R-MN),R,MN,0.60708535
101,S132,Bradley (D-NJ),D,NJ,0.57877815
101,S179,Breaux (D-LA),D,LA,0.53376204
101,S206,Bryan (D-NV),D,NV,0.62700963
101,S014,Bumpers (D-AR),D,AR,0.66237944
101,S015,Burdick (D-ND),D,ND,0.6752412
101,S211,Burns (R-MT),R,MT,0.70418006
101,S017,Byrd (D-WV),D,WV,0.55948555
101,S116,Chafee (R-RI),R,RI,0.5080386
101,S212,Coats (R-IN),R,IN,0.659164
101,S136,Cochran (R-MS),R,MS,0.7299035
101,S137,Cohen (R-ME),R,ME,0.3504823
101,S201,Conrad (D-ND),D,ND,0.49839228
101,S023,Cranston (D-CA),D,CA,0.7266881
101,S147,D'Amato (R-NY),R,NY,0.50482315
101,S108,Danforth (R-MO),R,MO,0.6045016
101,S185,Daschle (D-SD),D,SD,0.7299035
101,S102,DeConcini (D-AZ),D,AZ,0.5516129
101,S149,Dixon (D-IL),D,IL,0.511254
101,S150,Dodd (D-CT),D,CT,0.7202572
101,S026,Dole (R-KS),R,KS,1.0
101,S027,Domenici (R-NM),R,NM,0.6430868
101,S133,Durenberger (R-MN),R,MN,0.44927537
101,S129,Exon (D-NE),D,NE,0.39228296
101,S033,Ford (D-KY),D,KY,0.5176849
101,S183,Fowler (D-GA),D,GA,0.67202574
101,S034,Garn (R-UT),R,UT,0.6430868
101,S035,Glenn (D-OH),D,OH,0.71382636
101,S170,Gore (D-TN),D,TN,0.65273315
101,S152,Gorton (R-WA),R,WA,0.61093247
101,S199,Graham (D-FL),D,FL,0.6012862
101,S171,Gramm (R-TX),R,TX,0.6784566
101,S153,Grassley (R-IA),R,IA,0.585209
101,S172,Harkin (D-IA),D,IA,0.57877815
101,S118,Hatch (R-UT),R,UT,0.6752412
101,S044,Hatfield (R-OR),R,OR,0.1607717
101,S130,Heflin (D-AL),D,AL,0.28938907
101,S115,Heinz (R-PA),R,PA,0.4630225
101,S046,Helms (R-NC),R,NC,0.4879227
101,S047,Hollings (D-SC),D,SC,0.5016077
101,S138,Humphrey (R-NH),R,NH,0.44283414
101,S051,Inouye (D-HI),D,HI,0.6977492
101,S204,Jeffords (R-VT),R,VT,0.3
101,S054,Johnston (D-LA),D,LA,0.54911435
101,S140,Kassebaum (R-KS),R,KS,0.5948553
101,S155,Kasten (R-WI),R,WI,0.62057877
101,S055,Kennedy (D-MA),D,MA,0.7459807
101,S208,Kerrey (D-NE),D,NE,0.6784566
101,S173,Kerry (D-MA),D,MA,0.62700963
101,S209,Kohl (D-WI),D,WI,0.69453377
101,S166,Lautenberg (D-NJ),D,NJ,0.69131833
101,S057,Leahy (D-VT),D,VT,0.7459807
101,S131,Levin (D-MI),D,MI,0.64951766
101,S210,Lieberman (D-CT),D,CT,0.68488747
101,S203,Lott (R-MS),R,MS,0.6237942
101,S105,Lugar (R-IN),R,IN,0.7395498
101,S205,Mack (R-FL),R,FL,0.5948553
101,S104,Matsunaga (D-HI),D,HI,0.32577905
101,S197,McCain (R-AZ),R,AZ,0.5948553
101,S063,McClure (R-ID),R,ID,0.60645163
101,S174,McConnell (R-KY),R,KY,0.6881029
101,S114,Metzenbaum (D-OH),D,OH,0.63607085
101,S182,Mikulski (D-MD),D,MD,0.7170418
101,S144,Mitchell (D-ME),D,ME,1.0
101,S113,Moynihan (D-NY),D,NY,0.7749196
101,S157,Murkowski (R-AK),R,AK,0.6784566
101,S074,Nunn (D-GA),D,GA,0.5755627
101,S075,Packwood (R-OR),R,OR,0.43729904
101,S078,Pell (D-RI),D,RI,0.683871
101,S141,Pressler (R-SD),R,SD,0.44694534
101,S125,Pryor (D-AR),D,AR,0.64951766
101,S198,Reid (D-NV),D,NV,0.62700963
101,S107,Riegle (D-MI),D,MI,0.7266881
101,S207,Robb (D-VA),D,VA,0.6430868
101,S176,Rockefeller (D-WV),D,WV,0.62700963
101,S083,Roth (R-DE),R,DE,0.5273312
101,S160,Rudman (R-NH),R,NH,0.5723473
101,S178,Sanford (D-NC),D,NC,0.6516129
101,S106,Sarbanes (D-MD),D,MD,0.80707395
101,S117,Sasser (D-TN),D,TN,0.7363344
101,S184,Shelby (D-AL),D,AL,0.3858521
101,S175,Simon (D-IL),D,IL,0.6237942
101,S142,Simpson (R-WY),R,WY,0.6977492
101,S161,Specter (R-PA),R,PA,0.40836012
101,S090,Stevens (R-AK),R,AK,0.5845411
101,S162,Symms (R-ID),R,ID,0.5916399
101,S096,Thurmond (R-SC),R,SC,0.78778136
101,S119,Wallop (R-WY),R,WY,0.53376204
101,S143,Warner (R-VA),R,VA,0.6237942
101,S165,Wilson (R-CA),R,CA,0.42765275
101,S181,Wirth (D-CO),D,CO,0.70418006
101,S158,Nickles (R-OK),R,OK,0.6430868
101,S213,Akaka (D-HI),D,HI,0.7094017
